Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,DIC Quality Comment
4137,117049,090.0 080.0,19-5204CR-HY-094-1300-09000800-0100A-7,100,14.52,33.39,5.69,24.836,98.1,247.9571,,7,3.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,100.0,14.52,14.51,33.39,24.83,313.3,0.31,5.69,98.1,,,,,,,,100,,,,,,,,
4581,127001,046.7 060.0,19-5207CR-HY-197-1330-04670600-0000B-3,0,13.91,32.67,6.68,24.406,113.2,291.2213,,3,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,0.0,13.91,13.91,32.67,24.4,351.3,0.0,6.68,113.2,,,,,,,,0,,,,,,,,
643,19610,092.0 117.0,19-4909CR-HY-257-1624-09201170-0327A-3,327,7.02,34.02,,26.648,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,2.4,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,327.0,7.02,6.99,34.02,26.64,143.4,0.81,,,,2.4,,,,,,329,,,,,,,,
7112,184293,076.7 055.0,19-5410CR-HY-279-2342-07670550-0500A-7,500,6.23,34.335,,27.004,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,500.0,6.23,6.19,34.335,27.0,111.8,0.81,,,,,,,,,,504,,,,,,,,
29976,747284,083.3 080.0,20-0204JD-MX-097-1230-08330800-0500A-7,500,5.89,34.226,0.5,26.96,7.2,21.74379,,7,2.0,,3.0,,9.0,,,,,9.0,,9.0,3.09,,76.7,,0.0,,40.1,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,500.0,5.89,5.85,34.226,26.96,115.4,0.93,0.5,7.2,76.7,3.09,40.1,0.0,,,,503,,,,,,,,
34112,857234,083.3 090.0,20-1601RL-MX-017-0450-08330900-0270A-3,270,7.799,34.0145,2.396,26.53747,35.84,104.56,5.0,3,2.0,,3.0,,,,,,,9.0,,9.0,2.22,,41.15,,0.008,,30.01,,0.02,,,,9.0,,,9.0,,,9.0,,,9.0,,,270.0,7.8,7.77,34.015,26.537,153.8,0.674,2.4,35.8,41.2,2.22,30.0,0.01,0.02,,,272,5.0,,,,,,,
19187,479587,156.7 001.0,19-7410AX-HY-304-2033-15670010-1193A-3,1193,3.77,34.573,0.59,27.479,8.0,25.64471,,3,2.0,,3.0,,9.0,,,,,9.0,,9.0,3.43,,127.5,,0.03,,44.9,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,1193.0,3.77,3.68,34.573,27.47,70.4,1.57,0.59,8.0,127.5,3.43,44.9,0.03,,,,1203,,,,,,,,
32022,803446,086.7 040.0,20-0903JD-MX-074-0514-08670400-0150A-7,150,9.24,34.079,1.73,26.361,26.8,75.27741,,7,2.0,6.0,3.0,6.0,9.0,,,,0.0,,0.09,,2.24,,36.2,,0.02,,27.8,,0.0,,,,9.0,,,9.0,,,9.0,,,9.0,,,150.0,9.24,9.22,34.079,26.361,168.5,0.332,1.73,26.8,36.2,2.24,27.8,0.02,0.0,0.0,0.09,151,,,,,,,,
8355,218729,100.0 090.0,19-5604ST-HY-116-1006-10000900-0500A-7,500,5.94,34.303,0.63,27.015,9.0,27.3957,,7,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,500.0,5.94,5.9,34.303,27.01,110.4,0.91,0.63,9.0,,,,,,,,503,,,,,,,,
13728,368009,093.3 050.0,19-6310BD-HY-282-0654-09330500-0200A-7,200,8.62,33.98,3.02,26.382,46.0,131.4064,,7,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,200.0,8.62,8.6,33.98,26.38,167.2,0.51,3.02,46.0,,,,,,,,201,,,,,,,,
28961,717368,093.3 050.0,19-9809NM-PR-257-1823-09330500-0317A-3,317,7.31,34.15,1.44,26.711,21.3,62.6373,4.0,3,2.0,,3.0,,,,,,,9.0,,9.0,2.64,,52.7,,0.01,,33.6,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,317.0,7.31,7.28,34.15,26.71,137.6,0.69,1.44,21.3,52.7,2.64,33.6,0.01,,,,319,204.0,,,,,,,
20878,513875,094.0 031.0,19-7712JD-HY-340-2135-09400310-0072A-3,72,12.48,33.576,5.14,25.394,85.0,223.8675,,3,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,72.0,12.48,12.47,33.576,25.39,259.2,0.21,5.14,85.0,,,,,,,,72,,,,,,,,
25821,629903,098.0 057.0,19-8809NM-CT-258-2216-09800570-0250A-5,250,8.46,34.147,,26.539,,,,5,3.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,250.0,8.46,8.43,34.147,26.53,153.4,0.6,,,,,,,,,,251,,,,,,,,
3787,109265,136.7 023.0,19-5202BD-HY-049-2300-13670230-0000B-3,0,19.36,34.52,,24.563,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,0.0,19.36,19.36,34.52,24.56,336.3,0.0,,,,,,,,,,0,,,,,,,,
27859,684087,093.3 080.0,19-9501JD-PR-007-1859-09330800-0125A-7,125,10.37,33.634,3.72,25.825,58.8,161.9528,,7,2.0,,3.0,,9.0,,,,0.02,,0.05,,1.5,,18.8,,0.01,,17.6,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,125.0,10.37,10.36,33.634,25.82,219.1,0.35,3.72,58.8,18.8,1.5,17.6,0.01,,0.02,0.05,126,,,,,,,,
